gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0, 99.58043479919434, -183.81430651828543, -33.50326327403316, -116.26737229589708, 70fec303-9452-45b9-92bb-bee926560052, -33.50326327403316, 5.115185419222955, 1, 1, 33,30, 1, 360, 360, 360
1, 36.85607099533081, -137.03038268025847, -33.50326327403316, -109.00174857751439, 70fec303-9452-45b9-92bb-bee926560052, -33.50326327403316, 5.115185419222955, 1, 1, 33,30, 1, 360, 360, 360
2, 40.57689452171326, -120.6787677373319, -33.50326327403316, -103.61047520910354, 70fec303-9452-45b9-92bb-bee926560052, -33.50326327403316, 5.115185419222955, 1, 1, 33,30, 1, 360, 360, 360
3, 55.870940923690796, -141.96495831026726, -14.830025741795575, -97.64577327084577, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
4, 64.48828935623169, -146.4572965464711, -14.830025741795575, -90.57695922181279, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
5, 73.6247239112854, -155.63997381447766, -14.830025741795575, -83.24940199600437, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
6, 94.61438536643982, -141.48932417083512, -14.830025741795575, -73.48053211979574, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
7, 92.28868532180786, -141.05926925625573, -14.830025741795575, -66.4394044663188, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
8, 96.02529859542847, -186.7442412711011, -14.830025741795575, -62.462723943236114, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
9, 103.93655323982239, -224.11840456334636, -14.830025741795575, -54.485477710879394, 508246d1-13ff-432d-aa18-b289a20f3e43, -14.830025741795575, 14.462518345051079, 1, 1, 17,304, 1, 360, 360, 360
