gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0, 98.91709280014038, -185.9010458714595, -7.266190363059306, -117.69189122081993, 85fae288-4a71-4108-9fe4-ff2af448fb91, -7.266190363059306, 1.7926970949828558, 1, 1, 43,16, 1, 360, 360, 360
1, 31.566887617111206, -160.80608863347393, -6.199018140459313, -107.731779180755, 0dfbfd28-ec80-4e4c-a7cb-9671bf21efbd, -6.199018140459313, 1.1511248331481214, 1, 1, 43,15, 1, 360, 360, 360
2, 47.724326848983765, -126.3600053392568, -6.199018140459313, -101.60345611974262, 0dfbfd28-ec80-4e4c-a7cb-9671bf21efbd, -6.199018140459313, 1.1511248331481214, 1, 1, 43,15, 1, 360, 360, 360
3, 58.02563190460205, -168.34054997222262, -6.199018140459313, -94.48868480209772, 0dfbfd28-ec80-4e4c-a7cb-9671bf21efbd, -6.199018140459313, 1.1511248331481214, 1, 1, 43,15, 1, 360, 360, 360
4, 62.11255645751953, -132.92144382326288, -6.199018140459313, -88.62598399677935, 0dfbfd28-ec80-4e4c-a7cb-9671bf21efbd, -6.199018140459313, 1.1511248331481214, 1, 1, 43,15, 1, 360, 360, 360
5, 70.31186819076538, -196.0500047331183, -4.645089353198076, -78.869372661737, 4dc3dbf4-bf7f-41b3-b432-aefbb1305841, -4.645089353198076, 2.5659101259004427, 1, 1, 43,15, 1, 360, 360, 360
6, 79.4560661315918, -151.8181747707265, -4.645089353198076, -67.74289606817038, 4dc3dbf4-bf7f-41b3-b432-aefbb1305841, -4.645089353198076, 2.5659101259004427, 1, 1, 43,15, 1, 360, 360, 360
7, 96.25357747077942, -128.99293304640798, -4.645089353198076, -48.72755998088681, 4dc3dbf4-bf7f-41b3-b432-aefbb1305841, -4.645089353198076, 2.5659101259004427, 1, 1, 43,15, 1, 360, 360, 360
8, 105.85744571685791, -144.35372309073165, -4.645089353198076, -27.84113855663481, 4dc3dbf4-bf7f-41b3-b432-aefbb1305841, -4.645089353198076, 2.5659101259004427, 1, 1, 43,15, 1, 360, 360, 360
9, 107.02250719070435, -123.83923681139001, -4.645089353198076, -22.84635120677102, 4dc3dbf4-bf7f-41b3-b432-aefbb1305841, -4.645089353198076, 2.5659101259004427, 1, 1, 43,15, 1, 360, 360, 360
10, 104.88659429550171, -143.25432306078866, -4.1514782907847945, -23.216852350984087, 4a98d571-0daf-4583-9d3b-dfc681480ff7, -4.1514782907847945, 0.866312779514815, 1, 1, 42,17, 1, 360, 360, 360
11, 80.71132469177246, -130.4550028328502, -4.1514782907847945, -38.30579665906344, 4a98d571-0daf-4583-9d3b-dfc681480ff7, -4.1514782907847945, 0.866312779514815, 1, 1, 42,17, 1, 360, 360, 360
12, 105.63796329498291, -139.5998131914901, -4.002994658074089, -20.47079448690268, b831fbbd-499d-4282-8104-464b18cbfe27, -4.002994658074089, 3.793731869339566, 1, 1, 38,269, 1, 360, 360, 360
13, 103.13733124732971, -117.01342866916032, -0.7024708214456383, -20.279542331339016, 1bf476ca-3bb3-417b-a150-7eacaeb4909c, -0.7024708214456383, 1.3969320839695547, 1, 1, 43,16, 1, 360, 360, 360
14, 105.1019070148468, -120.30692228952543, 0.868050435010337, -18.519199484230644, 96dc245a-8fd6-460d-88f3-762cd9f06ad3, 0.868050435010337, 2.8456444882673586, 1, 1, 34,20, 1, 360, 360, 360
15, 105.01654863357544, -119.69819627978674, 0.868050435010337, -18.31066693686726, 96dc245a-8fd6-460d-88f3-762cd9f06ad3, 0.868050435010337, 2.8456444882673586, 1, 1, 34,20, 1, 360, 360, 360
16, 82.87992000579834, -173.81098811738875, 2.447806761774688, -36.33998404054097, d2f4c056-3799-439a-853b-f9ccad5b2199, 2.447806761774688, 4.290467110577243, 1, 1, 42,16, 1, 360, 360, 360
17, 151.63419270515442, -125.92982409584037, 2.447806761774688, -18.41715302403629, d2f4c056-3799-439a-853b-f9ccad5b2199, 2.447806761774688, 4.290467110577243, 1, 1, 42,16, 1, 360, 360, 360
18, 102.6858081817627, -136.28758967053892, 6.316421577839861, -16.83503884007833, 3f7b954d-c071-429e-b3b5-1c94d4053941, 6.316421577839861, 1.4935557678789038, 1, 1, 42,16, 1, 360, 360, 360
19, 98.4928936958313, -141.90805200599092, 6.316421577839861, -19.038433738727306, 3f7b954d-c071-429e-b3b5-1c94d4053941, 6.316421577839861, 1.4935557678789038, 1, 1, 42,16, 1, 360, 360, 360
20, 106.25986242294312, -125.53023878137756, 6.316421577839861, -14.312758928356144, 3f7b954d-c071-429e-b3b5-1c94d4053941, 6.316421577839861, 1.4935557678789038, 1, 1, 42,16, 1, 360, 360, 360
21, 68.48801159858704, -168.05073411178873, 6.962525841467934, -36.9609150669231, cd2ff563-a27b-4215-bdea-cd1fd2bb7e34, 6.962525841467934, 3.8166955439290042, 1, 1, 34,20, 1, 360, 360, 360
22, 100.98200368881226, -126.68219445063328, 6.962525841467934, -13.593175800574823, cd2ff563-a27b-4215-bdea-cd1fd2bb7e34, 6.962525841467934, 3.8166955439290042, 1, 1, 34,20, 1, 360, 360, 360
23, 103.56888771057129, -124.87721280313579, 6.962525841467934, -11.624373146486551, cd2ff563-a27b-4215-bdea-cd1fd2bb7e34, 6.962525841467934, 3.8166955439290042, 1, 1, 34,20, 1, 360, 360, 360
24, 106.16973972320557, -164.89792241273386, 6.962525841467934, -9.282597388459148, cd2ff563-a27b-4215-bdea-cd1fd2bb7e34, 6.962525841467934, 3.8166955439290042, 1, 1, 34,20, 1, 360, 360, 360
25, 108.2953839302063, -132.2919176227545, 6.962525841467934, -8.093061649009648, cd2ff563-a27b-4215-bdea-cd1fd2bb7e34, 6.962525841467934, 3.8166955439290042, 1, 1, 34,20, 1, 360, 360, 360
26, 81.77019834518433, -165.91283573711252, 7.61030668950437, -26.840007743762776, 39531daf-5af4-436e-9d86-16cce133cc0f, 7.61030668950437, 1.9568978440422826, 1, 1, 33,23, 1, 360, 360, 360
