gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0,52.3288209438324,-169.11090059976283,-19.232389669284007,-108.79382499590805,844af77b-c6d6-4f86-92ad-c10cd67b2932,-19.232389669284007,0.3440969950187408,1,2,41,38,2,360,360,720
1,31.764254331588745,-147.90915120963547,-19.232389669284007,-98.1485587875891,844af77b-c6d6-4f86-92ad-c10cd67b2932,-19.232389669284007,0.3440969950187408,1,2,41,38,2,360,360,635
2,41.74055552482605,-169.86727954019253,-3.7722319341317516,-89.99352830356584,a553b843-b29f-43b7-82f6-a8e5d3588a5b,-3.7722319341317516,3.067442552152042,1,2,104,55,2,360,360,610
3,46.65935707092285,-131.57877780581921,-3.7722319341317516,-80.92917048014874,a553b843-b29f-43b7-82f6-a8e5d3588a5b,-3.7722319341317516,3.067442552152042,1,2,104,55,2,360,360,614
4,62.42939591407776,-153.80247988277722,-1.7776178468242665,-69.72092235565674,266a2255-af32-44f4-9daf-7caad8318ad4,-1.7776178468242665,2.1079014700206016,1,2,103,55,2,360,360,609
5,73.3804292678833,-160.19194443928504,3.372686550423249,-54.898389742055656,d13d804e-8876-4d66-a5cb-5b583ecbad32,3.372686550423249,2.946423462639788,1,3,155,76,3,360,360,610
6,72.35453987121582,-114.26737991643604,3.372686550423249,-45.665608619063065,d13d804e-8876-4d66-a5cb-5b583ecbad32,3.372686550423249,2.946423462639788,1,3,155,76,3,360,360,614
7,75.80224370956421,-125.39104937764401,3.372686550423249,-43.46227365930517,d13d804e-8876-4d66-a5cb-5b583ecbad32,3.372686550423249,2.946423462639788,1,3,155,76,3,360,360,634
8,66.5384624004364,-121.2815722027768,3.372686550423249,-43.55097226173636,d13d804e-8876-4d66-a5cb-5b583ecbad32,3.372686550423249,2.946423462639788,1,3,155,76,3,360,360,665
9,71.97070813179016,-116.97528428610596,3.372686550423249,-36.59576448793169,d13d804e-8876-4d66-a5cb-5b583ecbad32,3.372686550423249,2.946423462639788,1,3,155,76,3,360,360,680
10,76.06761717796326,-147.90062195120814,4.2509621113365474,-30.914293676993534,3d3da7b5-ce58-43db-841b-2438e0359266,4.2509621113365474,4.439982462791519,1,4,183,99,4,360,360,686
11,58.92071771621704,-165.51943942944908,4.2509621113365474,-40.2175806427203,3d3da7b5-ce58-43db-841b-2438e0359266,4.2509621113365474,4.439982462791519,1,4,183,99,4,360,360,848
12,75.85710859298706,-141.4329475353052,4.652077453620069,-23.276394258590088,a7fdc84d-9d16-412f-bc8d-e1693e89b6d6,4.652077453620069,2.326661001678137,1,3,154,77,3,360,360,764
13,75.78196477890015,-162.5512714436919,4.652077453620069,-20.774753473322882,a7fdc84d-9d16-412f-bc8d-e1693e89b6d6,4.652077453620069,2.326661001678137,1,3,154,77,3,360,360,793
14,80.29246711730957,-120.61608491463414,7.321883980210944,-15.28454345665423,5649a1f3-9476-4372-bcce-c2dcb2557fa6,7.321883980210944,0.06610567539488268,1,5,220,123,5,360,360,792
15,76.8625910282135,-147.91035280810567,8.127294341981905,-14.284602722169385,4cd04db4-4df1-4805-9ef9-3923a3260ba8,8.127294341981905,0.02184350299225544,1,5,156,131,5,360,360,829
16,57.57570147514343,-148.75708662142472,8.127294341981905,-31.152579202438957,4cd04db4-4df1-4805-9ef9-3923a3260ba8,8.127294341981905,0.02184350299225544,1,5,156,131,5,360,360,1047
