gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0, 154.83864545822144, -194.40713151602668, 5.148222812705595, -109.14906317146668, 8fedf727-fd80-432b-8dce-8cee4ac75694, 5.148222812705595, 0.4730976081505753, 1, 2, 105,17, 2, 360, 360, 720
1, 103.29817461967468, -135.52204190816875, 5.148222812705595, -98.51089339170007, 8fedf727-fd80-432b-8dce-8cee4ac75694, 5.148222812705595, 0.4730976081505753, 1, 2, 105,17, 2, 324, 360, 633
2, 107.46630907058716, -129.698600112639, 5.148222812705595, -91.06982644407519, 8fedf727-fd80-432b-8dce-8cee4ac75694, 5.148222812705595, 0.4730976081505753, 1, 2, 105,17, 2, 313, 360, 615
3, 126.0078182220459, -125.04785935601299, 5.148222812705595, -84.48252807214129, 8fedf727-fd80-432b-8dce-8cee4ac75694, 5.148222812705595, 0.4730976081505753, 1, 2, 105,17, 2, 304, 360, 597
4, 149.69157218933105, -164.51213076577673, 5.767342357955488, -77.73118535445704, 5fc86a9e-1480-4d12-ba62-bab517de249f, 5.767342357955488, 1.1810241901694618, 1, 2, 104,17, 2, 293, 360, 622
5, 142.65487909317017, -165.09030259476748, 5.767342357955488, -71.21724271594942, 5fc86a9e-1480-4d12-ba62-bab517de249f, 5.767342357955488, 1.1810241901694618, 1, 2, 104,17, 2, 296, 360, 625
6, 171.44655990600586, -165.48428574818936, 6.047575949555859, -60.06147671179415, 7f123ba1-6b57-4e40-be14-b4c12ac32725, 6.047575949555859, 1.2420689320208596, 1, 2, 106,17, 2, 290, 360, 621
7, 194.11506533622742, -179.42038522006993, 6.047575949555859, -52.52098339548708, 7f123ba1-6b57-4e40-be14-b4c12ac32725, 6.047575949555859, 1.2420689320208596, 1, 2, 106,17, 2, 283, 360, 651
8, 189.26153993606567, -143.22205270302152, 6.355651921127866, -44.370510105719056, 1bf28b4d-982b-4ac8-afcc-e6b4e5935cc4, 6.355651921127866, 1.395777414447311, 1, 2, 106,18, 2, 290, 360, 645
9, 183.56465530395508, -137.82782562057483, 6.355651921127866, -42.228180707938996, 1bf28b4d-982b-4ac8-afcc-e6b4e5935cc4, 6.355651921127866, 1.395777414447311, 1, 2, 106,18, 2, 282, 360, 679
10, 185.1858947277069, -135.83454637932337, 6.549235780826125, -34.96331602705938, d4894f0d-fb75-4c39-87bb-95f5f4e84b98, 6.549235780826125, 1.1156734966733273, 1, 2, 106,18, 2, 277, 360, 676
11, 125.9789822101593, -137.47466731062065, 6.549235780826125, -44.001007247276775, d4894f0d-fb75-4c39-87bb-95f5f4e84b98, 6.549235780826125, 1.1156734966733273, 1, 2, 106,18, 2, 262, 360, 782
12, 173.36217594146729, -125.01627845913647, 6.549235780826125, -25.839266502850865, d4894f0d-fb75-4c39-87bb-95f5f4e84b98, 6.549235780826125, 1.1156734966733273, 1, 2, 106,18, 2, 273, 360, 677
13, 201.49471855163574, -120.60827705197089, 6.549235780826125, -20.931828319963493, d4894f0d-fb75-4c39-87bb-95f5f4e84b98, 6.549235780826125, 1.1156734966733273, 1, 2, 106,18, 2, 279, 360, 654
14, 195.5068118572235, -130.27858651575275, 6.650296230270341, -17.854267103845068, 83ef8c7b-5183-4328-806c-bda0b443f80a, 6.650296230270341, 1.2294401775898927, 1, 2, 106,19, 2, 293, 360, 641
15, 185.8547670841217, -128.54354141102039, 6.851737852821873, -16.94987249151087, 9e60150f-d77e-4c40-a2ab-058561da0557, 6.851737852821873, 1.4756948413338304, 3, 7, 262,39, 5, 292, 360, 664
16, 138.44020223617554, -123.84236204168587, 7.204536606296986, -29.96520560249292, 0b209ab9-6804-4ef5-afd5-67b88591e0cb, 7.204536606296986, 1.2282386749227212, 1, 2, 105,19, 2, 270, 360, 751
17, 193.6563048362732, -129.21209361210248, 7.204536606296986, -8.936879227717728, 0b209ab9-6804-4ef5-afd5-67b88591e0cb, 7.204536606296986, 1.2282386749227212, 1, 2, 105,19, 2, 286, 360, 633
18, 205.2329876422882, -120.9155019557788, 7.204536606296986, -12.2068188055507, 0b209ab9-6804-4ef5-afd5-67b88591e0cb, 7.204536606296986, 1.2282386749227212, 1, 2, 105,19, 2, 269, 360, 673
19, 194.99123573303223, -118.54227198232282, 7.244002101417323, -8.052249924525173, 7d234958-8156-4afb-a41a-678c6886d159, 7.244002101417323, 1.171211949698122, 1, 4, 166,40, 4, 264, 360, 680
20, 192.913916349411, -144.47779987598534, 7.244002101417323, -6.488068424597891, 7d234958-8156-4afb-a41a-678c6886d159, 7.244002101417323, 1.171211949698122, 1, 4, 166,40, 4, 266, 360, 676
21, 133.6012725830078, -138.09576225344577, 7.472621527946423, -28.126849991815117, fae4468f-768c-4ec5-84a6-38fd889ea853, 7.472621527946423, 1.1955413597385798, 1, 2, 105,16, 2, 253, 360, 776
22, 175.59533286094666, -118.03399167562077, 7.550051937340301, -7.993627662801378, 2402a209-02c3-485a-89a7-739cbbdb6bc7, 7.550051937340301, 1.0341634106628308, 2, 5, 143,126, 4, 268, 360, 677
23, 203.3979103565216, -119.29918697945217, 7.584099074367825, -5.069755305589564, f783d0fc-7cab-472e-880c-40a70b9ebbfc, 7.584099074367825, 1.0154781184033832, 2, 6, 289,75, 5, 266, 360, 667
24, 179.18680334091187, -120.99396332572016, 7.584099074367825, -10.696397130190872, f783d0fc-7cab-472e-880c-40a70b9ebbfc, 7.584099074367825, 1.0154781184033832, 2, 6, 289,75, 5, 260, 360, 701
25, 174.51345539093018, -118.64727038638894, 7.683000357916731, -8.960066773350093, ad9a7a86-8d26-45e8-b08f-0f528d508cff, 7.683000357916731, 0.9579179639897424, 1, 2, 107,16, 2, 266, 360, 691
26, 106.41327810287476, -119.2712058325282, 8.116609374142039, -33.061341148233005, 226175cc-a0a5-46d2-a897-9d2d454eebd2, 8.116609374142039, 0.09836614819734305, 3, 9, 453,90, 7, 250, 360, 801
27, 178.92466115951538, -124.81348342396907, 8.116609374142039, -8.090333506564203, 226175cc-a0a5-46d2-a897-9d2d454eebd2, 8.116609374142039, 0.09836614819734305, 3, 9, 453,90, 7, 266, 360, 697
