gen, gen_time, fitness_min, fitness_max, fitness_avg, champ_id, champ_mean, champ_std, champ_teams, champ_learners, champ_instructions, champ_act_instructions, champ_real_acts, pop_roots, pop_teams, pop_learners, hh_learners_removed, hh_teams_affected, b_teams, b_learners, b_teams_new, b_learners_new
0, 85.7003743648529, -206.07342741943907, -4.722234077907602, -107.45068531143937, 14255e61-80dc-4480-a1d8-8da8ad6c492b, -4.722234077907602, 2.326048784929615, 1, 2, 107,59, 2, 360, 360, 720, -1, -1, 1, 3, 1, 3
1, 62.49154615402222, -173.11853463687945, -3.925391448280652, -94.09655006876929, bbfb0fa0-c2ad-48ae-b59e-c02be3e0fb2f, -3.925391448280652, 1.4806333481471181, 1, 3, 120,61, 3, 332, 361, 648, -1, -1, 4, 14, 4, 14
2, 57.72246313095093, -153.40481969791784, 140.9519769444077, -83.0959807989494, 55649585-cae8-4258-adf5-0db289bca621, 140.9519769444077, 9.10993580376844, 2, 6, 178,120, 5, 313, 363, 621, -1, -1, 5, 18, 5, 18
3, 68.98180603981018, -126.04107561676248, 154.19962131224486, -66.46719293453256, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 299, 361, 627, -1, -1, 9, 32, 9, 32
4, 78.67434024810791, -192.71103505374975, 154.19962131224486, -54.04572462516362, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 306, 364, 641, -1, -1, 11, 37, 11, 37
5, 81.32910537719727, -120.15836081277322, 154.19962131224486, -41.91094869120209, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 300, 362, 640, -1, -1, 13, 42, 13, 42
6, 155.81084632873535, -124.32177963165213, 154.19962131224486, -29.564408798785845, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 297, 362, 616, -1, -1, 14, 43, 14, 43
7, 77.82580542564392, -129.24284224705147, 154.19962131224486, -25.743005698938276, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 289, 361, 615, -1, -1, 14, 43, 14, 43
8, 82.57548451423645, -129.15953428305505, 154.19962131224486, -17.916422019697514, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 290, 360, 624, -1, -1, 14, 43, 14, 43
9, 84.62734842300415, -122.36938757355274, 154.19962131224486, -12.410181965651281, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 285, 360, 649, -1, -1, 15, 47, 15, 47
10, 88.23340940475464, -116.84744613313403, 154.19962131224486, -4.310206718971889, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 290, 361, 673, -1, -1, 16, 50, 16, 50
11, 59.222317695617676, -147.52473741068985, 154.19962131224486, -24.116123019846814, 9a778e8f-7cbc-4d4a-98c5-c439cb227ff2, 154.19962131224486, 15.822111014242534, 1, 3, 117,34, 3, 270, 361, 799, -1, -1, 16, 50, 16, 50
12, 75.03373122215271, -136.7481008158614, 154.38737561425208, 4.060626055275413, 83417df4-ba2b-42ed-9c89-205e3b8c1c46, 154.38737561425208, 17.744448743634564, 1, 4, 133,66, 4, 280, 360, 692, -1, -1, 16, 50, 16, 50
13, 81.65944957733154, -126.0859683542157, 154.94960711761544, 18.741903186292298, 571cb1a9-b2cf-425b-abb8-793a7c2a88fb, 154.94960711761544, 12.569154590510191, 2, 5, 183,64, 4, 281, 360, 690, -1, -1, 18, 55, 18, 55
14, 80.34318661689758, -124.56851847907885, 162.82273888188598, 27.28807474239656, 1aa00420-e87c-4ee1-bfd8-ac992585e522, 162.82273888188598, 12.086462558467998, 1, 4, 134,67, 4, 280, 362, 721, -1, -1, 19, 58, 19, 58
15, 88.46891522407532, -149.77266959041293, 162.82273888188598, 43.58453898939268, 1aa00420-e87c-4ee1-bfd8-ac992585e522, 162.82273888188598, 12.086462558467998, 1, 4, 134,67, 4, 278, 361, 719, -1, -1, 20, 61, 20, 61
16, 61.79105758666992, -145.72064076064552, 162.82273888188598, 16.419122294694056, 1aa00420-e87c-4ee1-bfd8-ac992585e522, 162.82273888188598, 12.086462558467998, 1, 4, 134,67, 4, 262, 361, 823, -1, -1, 20, 61, 20, 61
17, 204.32389497756958, -126.38349540582537, 166.86208693091822, 59.81454591504303, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 271, 360, 723, -1, -1, 20, 61, 20, 61
18, 88.64230537414551, -125.39256430793753, 166.86208693091822, 72.29266013878589, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 274, 360, 711, -1, -1, 20, 61, 20, 61
19, 84.1299991607666, -128.614842569156, 166.86208693091822, 70.45411476959981, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 272, 360, 733, -1, -1, 19, 61, 19, 61
20, 90.25666666030884, -122.60028411571511, 166.86208693091822, 82.24576905630077, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 281, 360, 705, -1, -1, 19, 61, 19, 61
21, 70.6531183719635, -127.54761660928061, 166.86208693091822, 29.452239930409547, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 260, 360, 822, -1, -1, 19, 61, 19, 61
22, 91.08376264572144, -126.2009239806029, 166.86208693091822, 89.72503134931883, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 282, 360, 712, -1, -1, 18, 61, 18, 61
23, 84.55202746391296, -129.5173222388126, 166.86208693091822, 82.56490664716685, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 283, 360, 713, -1, -1, 19, 61, 19, 61
24, 87.20010137557983, -122.35546780838327, 166.86208693091822, 80.43062974302104, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 274, 361, 744, -1, -1, 18, 61, 18, 61
25, 86.5124442577362, -126.08598231850172, 166.86208693091822, 77.98509785861748, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 288, 360, 725, -1, -1, 17, 61, 17, 61
26, 195.5326156616211, -136.60044988500402, 166.86208693091822, 31.965601425928707, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 267, 361, 839, -1, -1, 17, 61, 17, 61
27, 80.90288186073303, -126.7180958000611, 166.86208693091822, 79.35581053703915, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 272, 360, 706, -1, -1, 17, 61, 17, 61
28, 74.59029388427734, -168.6659071579024, 166.86208693091822, 75.19602775789706, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 268, 360, 738, -1, -1, 16, 61, 16, 61
29, 86.3179202079773, -164.5959566511604, 166.86208693091822, 88.77681087129692, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 270, 361, 732, -1, -1, 17, 61, 17, 61
30, 86.690753698349, -130.5622493281737, 166.86208693091822, 82.42062443204004, 089b8592-7e34-450a-8245-e913027ee2de, 166.86208693091822, 8.479565266084126, 2, 6, 196,96, 5, 276, 362, 717, -1, -1, 17, 61, 17, 61
