gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,924,-208.9894,0.4997,-113.9174,0.4997,0c3f0d04-8ee0-4f61-bb44-41f166ea8067,0.4997,1.7358,1,2,181,165,2,360,360,720,0,0,0,0,0,0
1,471,-142.2637,0.4997,-103.7401,-5.2512,0c3f0d04-8ee0-4f61-bb44-41f166ea8067,0.4997,1.7358,1,2,181,165,2,360,360,674,0,0,0,0,0,0
2,666,-191.7941,4.9767,-97.0926,4.9767,38820ae6-7ef5-4ee0-812e-10e06537bdb0,4.9767,0.1436,1,2,132,57,2,360,360,664,0,0,0,0,0,0
3,849,-131.1333,5.0063,-87.2887,5.0063,4564e6a4-5284-41f2-8995-1eafdca079b2,5.0063,0.1236,1,2,131,57,2,360,360,689,0,0,0,0,0,0
4,1085,-152.1704,5.0063,-75.3512,-2.3158,4564e6a4-5284-41f2-8995-1eafdca079b2,5.0063,0.1236,1,2,131,57,2,360,360,666,0,0,0,0,0,0
5,1201,-137.0777,5.0063,-64.9936,4.9771,4564e6a4-5284-41f2-8995-1eafdca079b2,5.0063,0.1236,1,2,131,57,2,360,360,687,0,0,0,0,0,0
6,1249,-118.4026,6.944,-53.0993,6.944,80f3a1f4-5fc9-4de8-a906-2bc16dc1a8fb,6.944,1.3923,1,3,238,12,3,360,360,673,0,0,0,0,0,0
7,692,-141.3239,6.944,-46.054,4.9746,80f3a1f4-5fc9-4de8-a906-2bc16dc1a8fb,6.944,1.3923,1,3,238,12,3,360,360,691,0,0,0,0,0,0
8,705,-123.8428,6.944,-40.5146,5.5133,80f3a1f4-5fc9-4de8-a906-2bc16dc1a8fb,6.944,1.3923,1,3,238,12,3,360,360,731,0,0,0,0,0,0
9,679,-180.1987,6.944,-36.4793,5.042,80f3a1f4-5fc9-4de8-a906-2bc16dc1a8fb,6.944,1.3923,1,3,238,12,3,360,360,674,0,0,0,0,0,0
10,684,-120.2139,6.944,-32.5368,6.7846,80f3a1f4-5fc9-4de8-a906-2bc16dc1a8fb,6.944,1.3923,1,3,238,12,3,360,360,718,0,0,0,0,0,0
11,351,-125.7825,6.944,-46.87,4.723,80f3a1f4-5fc9-4de8-a906-2bc16dc1a8fb,6.944,1.3923,1,3,238,12,3,360,360,865,0,0,0,0,0,0
12,643,-146.207,7.7626,-30.1897,7.7626,7428b119-0a19-47c4-b72d-d9e275f04049,7.7626,0.0589,1,3,257,6,3,360,360,726,0,0,0,0,0,0
13,670,-129.3838,7.7626,-22.1711,6.6219,7428b119-0a19-47c4-b72d-d9e275f04049,7.7626,0.0589,1,3,257,6,3,360,360,657,0,0,0,0,0,0
14,656,-118.0012,7.7626,-21.0969,7.0395,7428b119-0a19-47c4-b72d-d9e275f04049,7.7626,0.0589,1,3,257,6,3,360,360,669,0,0,0,0,0,0
15,620,-118.9303,7.8386,-19.7538,7.8386,0337e956-ae5f-4245-9cd4-c4e0eb2f48e4,7.8386,0.1008,1,4,373,9,4,360,360,665,0,0,0,0,0,0
16,244,-163.3833,7.8386,-43.3273,7.4311,0337e956-ae5f-4245-9cd4-c4e0eb2f48e4,7.8386,0.1008,1,4,373,9,4,360,360,827,0,0,0,0,0,0
17,568,-122.9596,7.9866,-21.7202,7.9866,15e38bf2-48eb-467b-a807-3285734b23c0,7.9866,0.0301,1,4,283,168,4,360,360,653,0,0,0,0,0,0
18,671,-118.0486,7.9866,-16.0816,7.936,15e38bf2-48eb-467b-a807-3285734b23c0,7.9866,0.0301,1,4,283,168,4,360,360,643,0,0,0,0,0,0
19,611,-124.4014,7.9866,-19.4439,7.8794,15e38bf2-48eb-467b-a807-3285734b23c0,7.9866,0.0301,1,4,283,168,4,360,360,681,0,0,0,0,0,0
20,603,-123.7833,7.9866,-19.6837,7.8985,15e38bf2-48eb-467b-a807-3285734b23c0,7.9866,0.0301,1,4,283,168,4,360,360,695,0,0,0,0,0,0
21,251,-150.9046,7.9866,-42.0698,7.872,15e38bf2-48eb-467b-a807-3285734b23c0,7.9866,0.0301,1,4,283,168,4,360,360,883,0,0,0,0,0,0
22,571,-123.5808,8.0276,-20.933,8.0276,6dfc750c-a5c2-467d-a025-988bd45ae9c0,8.0276,0.0844,1,4,285,170,4,360,360,714,0,0,0,0,0,0
23,704,-120.9234,8.1698,-13.95,8.1698,9527862e-73ef-4ead-a4be-5a8e9eb8cd30,8.1698,0.078,1,3,210,12,3,360,360,729,0,0,0,0,0,0
24,726,-119.9494,8.1698,-14.4837,8.046,9527862e-73ef-4ead-a4be-5a8e9eb8cd30,8.1698,0.078,1,3,210,12,3,360,360,779,0,0,0,0,0,0
25,777,-117.4975,8.2393,-9.7093,8.2393,a30543b5-2ae3-4854-a14e-19bb8b36a853,8.2393,0.4127,1,4,188,15,4,360,360,753,0,0,0,0,0,0
26,411,-120.0999,8.2393,-32.1113,7.9887,a30543b5-2ae3-4854-a14e-19bb8b36a853,8.2393,0.4127,1,4,188,15,4,360,360,966,0,0,0,0,0,0
27,736,-119.3721,8.2393,-11.5177,8.2043,a30543b5-2ae3-4854-a14e-19bb8b36a853,8.2393,0.4127,1,4,188,15,4,360,360,804,0,0,0,0,0,0
