gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0,55.432769775390625,-191.64409144599188,-7.5956143886099525,-110.61638508874128,58daad6e-cb0c-4fa3-9a62-7bdf69551c2a,-7.5956143886099525,1.3771323294862183,1,2,78,18,2,360,360,720
1,32.94913053512573,-131.9372173217426,-7.5956143886099525,-98.74886604774176,58daad6e-cb0c-4fa3-9a62-7bdf69551c2a,-7.5956143886099525,1.3771323294862183,1,2,78,18,2,360,360,641
2,39.958622455596924,-137.6535713201285,-7.5956143886099525,-90.54046303048496,58daad6e-cb0c-4fa3-9a62-7bdf69551c2a,-7.5956143886099525,1.3771323294862183,1,2,78,18,2,360,360,617
3,47.83869671821594,-166.71652773483885,-2.5790510517093024,-81.42877473323175,30b5da9e-03b6-4454-80d9-3b529e8cedfc,-2.5790510517093024,3.4504125577021068,1,4,69,125,4,360,360,623
4,53.49988317489624,-139.77218440576559,-1.3251686200054322,-71.56339101416084,f928976c-25a7-4779-b962-0f209916661d,-1.3251686200054322,6.5540224525867465,1,2,78,19,2,360,360,618
5,60.6211724281311,-152.46972866222748,-0.9960684333649226,-61.63589352542761,9f801b35-7cc4-456e-88b8-ddc99dc13a8a,-0.9960684333649226,6.0128581929234715,1,4,68,125,4,360,360,613
6,62.1935019493103,-122.16680380816766,-0.5122716984147051,-52.92436034708091,b47db2bd-b589-47c4-a935-c29f4eff5353,-0.5122716984147051,3.0611490849937892,1,3,53,79,3,360,360,605
7,68.4850435256958,-124.34441081349709,4.536844961902622,-43.8660202479484,3157aa3b-5c6e-47ac-a9ad-5eca5f08bf4e,4.536844961902622,1.2340869853495984,1,4,71,126,4,360,360,639
8,66.79648518562317,-135.36136622670446,4.536844961902622,-40.16823659218954,3157aa3b-5c6e-47ac-a9ad-5eca5f08bf4e,4.536844961902622,1.2340869853495984,1,4,71,126,4,360,360,652
9,69.22876214981079,-182.9915759934755,4.536844961902622,-32.98174482062669,3157aa3b-5c6e-47ac-a9ad-5eca5f08bf4e,4.536844961902622,1.2340869853495984,1,4,71,126,4,360,360,647
10,67.32000160217285,-136.7323779600501,5.955607118405327,-27.453484722681313,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,663
11,56.51144337654114,-140.87054861955053,5.955607118405327,-34.10356138674691,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,816
12,70.86455416679382,-171.49451768065586,5.955607118405327,-16.484189788474488,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,707
13,73.78406596183777,-156.11733759317687,5.955607118405327,-15.02837210894161,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,726
14,69.79723572731018,-117.47254559042435,5.955607118405327,-17.939542332027614,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,764
15,73.87522554397583,-187.3173726126505,5.955607118405327,-16.096517761224874,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,769
16,53.56914019584656,-195.33605279992244,5.955607118405327,-33.84986890965819,7c9c2b1b-99b9-4e1e-b3fe-788937984762,5.955607118405327,1.4591119578230938,1,2,78,19,2,360,360,974
17,72.53979420661926,-178.95129784930464,6.125280410414462,-16.682530422749704,d019209c-281b-437d-b79a-3ab0d38e946d,6.125280410414462,0.9102333190059316,1,2,78,18,2,360,360,828
18,73.87447023391724,-126.34613705830343,6.125280410414462,-14.939771880430703,d019209c-281b-437d-b79a-3ab0d38e946d,6.125280410414462,0.9102333190059316,1,2,78,18,2,360,360,803
19,70.74090909957886,-188.85423224340803,6.125280410414462,-15.091024033663196,d019209c-281b-437d-b79a-3ab0d38e946d,6.125280410414462,0.9102333190059316,1,2,78,18,2,360,360,791
20,68.67205953598022,-123.67307240392329,6.125280410414462,-15.5248073651645,d019209c-281b-437d-b79a-3ab0d38e946d,6.125280410414462,0.9102333190059316,1,2,78,18,2,360,360,788
21,54.67237973213196,-158.95815896990848,6.125280410414462,-29.281849438469706,d019209c-281b-437d-b79a-3ab0d38e946d,6.125280410414462,0.9102333190059316,1,2,78,18,2,360,360,884
22,72.0716164112091,-133.6492828791658,6.719457914078218,-10.864775579153237,0c27ed76-f630-4fb6-8f5b-58755faf2342,6.719457914078218,0.24502243106238009,1,2,80,19,2,360,360,741
23,74.02445411682129,-115.3837452335224,7.184426301475533,-9.171576810650421,af82c2c3-0ed0-443c-b6a3-d6d18a214385,7.184426301475533,0.16401952881814177,1,3,124,23,3,360,360,661
24,71.77520322799683,-112.65332135233079,7.184426301475533,-9.497355992388192,af82c2c3-0ed0-443c-b6a3-d6d18a214385,7.184426301475533,0.16401952881814177,1,3,124,23,3,360,360,661
25,71.93247771263123,-117.1343917408542,7.184426301475533,-9.061435604836452,af82c2c3-0ed0-443c-b6a3-d6d18a214385,7.184426301475533,0.16401952881814177,1,3,124,23,3,360,360,645
26,50.14754796028137,-135.81963521545228,7.196274347732881,-26.833072442791554,9b0914ac-8ec7-45e3-add4-7991692594c1,7.196274347732881,0.09621710452363501,1,2,80,19,2,360,360,782
27,69.35279059410095,-117.06097037740847,7.196274347732881,-8.779264350975,9b0914ac-8ec7-45e3-add4-7991692594c1,7.196274347732881,0.09621710452363501,1,2,80,19,2,360,360,652
28,75.35047793388367,-116.25681157883187,7.196274347732881,-6.975624155267926,9b0914ac-8ec7-45e3-add4-7991692594c1,7.196274347732881,0.09621710452363501,1,2,80,19,2,360,360,638
29,70.90507793426514,-115.84650312567774,7.196274347732881,-6.3669392609304305,9b0914ac-8ec7-45e3-add4-7991692594c1,7.196274347732881,0.09621710452363501,1,2,80,19,2,360,360,622
30,75.12182998657227,-121.98833033868172,7.196274347732881,-8.057193781836192,9b0914ac-8ec7-45e3-add4-7991692594c1,7.196274347732881,0.09621710452363501,1,2,80,19,2,360,360,648
