gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,347,-185.6778,-2.1769,-114.0442,-2.1769,c6eec114-8afd-4acd-b84a-393e7c57bffc,-2.1769,0.6772,1,2,179,75,2,360,360,720,-1,-1,0,0,0,0
1,1,246,-157.5632,-2.1769,-105.1184,-3.474,c6eec114-8afd-4acd-b84a-393e7c57bffc,-2.1769,0.6772,1,2,179,75,2,360,404,720,-1,-1,0,0,0,0
2,2,243,-145.294,-1.8441,-97.4863,-1.8441,b7df0713-542e-4d4f-8d84-0a13a6ab3517,-1.8441,0.546,1,2,179,75,2,360,422,730,-1,-1,0,0,0,0
3,3,305,-176.2565,-1.2233,-90.237,-1.2233,6dd8d7f1-3506-496f-a2d2-d59fdf5f0465,-1.2233,0.5538,1,2,179,75,2,361,432,749,-1,-1,0,0,0,0
4,4,304,-131.0864,-0.5588,-80.5079,-0.5588,3d8c81cf-48f0-4329-a916-c76eb4167947,-0.5588,0.2915,1,4,352,144,4,360,442,795,-1,-1,0,0,0,0
5,5,416,-150.0751,-0.1611,-74.5604,-0.1611,4b12f8e9-920c-47b3-8e62-61a888b21b70,-0.1611,2.1803,1,2,179,74,2,360,467,859,-1,-1,0,0,0,0
6,6,384,-171.0728,0.6026,-62.9517,0.6026,111aef6b-3ae4-408d-a7a2-c09c2f956651,0.6026,1.2647,1,4,352,144,4,360,461,870,-1,-1,0,0,0,0
7,7,395,-133.6173,0.6026,-52.0254,0.0614,111aef6b-3ae4-408d-a7a2-c09c2f956651,0.6026,1.2647,1,4,352,144,4,361,446,839,-1,-1,0,0,0,0
8,8,501,-145.1028,0.6026,-48.364,-0.3901,111aef6b-3ae4-408d-a7a2-c09c2f956651,0.6026,1.2647,1,4,352,144,4,360,468,921,-1,-1,0,0,0,0
9,9,446,-126.1558,1.4664,-41.4076,1.4664,20c92604-a98d-4c8c-8bbb-184f284c6c1f,1.4664,0.2105,1,4,226,79,4,360,458,900,-1,-1,0,0,0,0
10,10,437,-133.398,6.2329,-37.298,6.2329,ecf9d943-ff7b-4ce6-9a5b-b0d89632252f,6.2329,1.2101,3,8,642,153,6,360,457,914,-1,-1,0,0,0,0
11,11,298,-156.2851,6.2329,-52.7426,5.5778,ecf9d943-ff7b-4ce6-9a5b-b0d89632252f,6.2329,1.2101,3,8,642,153,6,360,479,1118,-1,-1,0,0,0,0
12,12,406,-124.2321,6.6429,-27.3038,6.6429,682c17a0-97fc-4f53-a393-c63d4d1ca3d6,6.6429,1.0309,3,7,421,104,5,360,456,895,-1,-1,0,0,0,0
13,13,497,-120.097,7.4313,-22.4038,7.4313,646f1230-5268-4a7a-a7ca-29172a258823,7.4313,0.0687,4,9,629,144,6,360,451,859,-1,-1,0,0,0,0
14,14,430,-122.8654,7.4313,-18.462,6.3664,646f1230-5268-4a7a-a7ca-29172a258823,7.4313,0.0687,4,9,629,144,6,360,426,834,-1,-1,0,0,0,0
15,15,567,-120.6575,7.5487,-22.4047,7.5487,1e461e30-1043-416e-9c7d-8e6791f6acfd,7.5487,1.126,2,5,368,149,4,360,455,956,-1,-1,0,0,0,0
16,16,454,-157.4434,7.5487,-42.2251,7.4407,1e461e30-1043-416e-9c7d-8e6791f6acfd,7.5487,1.126,2,5,368,149,4,360,497,1246,-1,-1,0,0,0,0
17,17,413,-121.4821,7.5487,-14.6608,6.5802,1e461e30-1043-416e-9c7d-8e6791f6acfd,7.5487,1.126,2,5,368,149,4,360,462,1026,-1,-1,0,0,0,0
18,18,494,-124.5468,7.5487,-20.6937,6.4245,1e461e30-1043-416e-9c7d-8e6791f6acfd,7.5487,1.126,2,5,368,149,4,361,472,1090,-1,-1,0,0,0,0
19,19,519,-123.1811,7.5487,-15.869,7.4536,1e461e30-1043-416e-9c7d-8e6791f6acfd,7.5487,1.126,2,5,368,149,4,360,473,1105,-1,-1,0,0,0,0
20,20,478,-129.1571,8.0229,-15.1965,8.0229,dbf27052-9bf0-4869-a2e9-cb2e8d62f548,8.0229,0.13,2,4,375,18,3,360,467,1074,-1,-1,0,0,0,0
21,21,385,-139.7562,8.0229,-41.6489,7.3324,dbf27052-9bf0-4869-a2e9-cb2e8d62f548,8.0229,0.13,2,4,375,18,3,360,508,1331,-1,-1,0,0,0,0
22,22,408,-125.7744,8.0229,-14.0399,7.3965,dbf27052-9bf0-4869-a2e9-cb2e8d62f548,8.0229,0.13,2,4,375,18,3,360,480,1127,-1,-1,0,0,0,0
23,23,498,-120.0524,8.1214,-16.0607,8.1214,19e919b3-0d1e-491a-ad4f-952e667eaa3c,8.1214,0.1165,3,8,539,105,6,361,483,1074,-1,-1,0,0,0,0
24,24,453,-120.9117,8.1214,-10.5834,8.0094,19e919b3-0d1e-491a-ad4f-952e667eaa3c,8.1214,0.1165,3,8,539,105,6,360,458,974,-1,-1,0,0,0,0
25,25,439,-122.5551,8.808,-12.6531,8.808,0e8be2c4-fba7-48a7-961c-0b4edd97ab46,8.808,4.9671,1,2,198,19,2,360,444,878,-1,-1,0,0,0,0
26,26,367,-141.0548,8.808,-43.5528,8.1386,0e8be2c4-fba7-48a7-961c-0b4edd97ab46,8.808,4.9671,1,2,198,19,2,360,490,1153,-1,-1,0,0,0,0
27,27,413,-120.3853,8.808,-9.0347,8.0795,0e8be2c4-fba7-48a7-961c-0b4edd97ab46,8.808,4.9671,1,2,198,19,2,360,453,912,-1,-1,0,0,0,0
28,28,584,-134.0283,8.808,-11.7202,8.0862,0e8be2c4-fba7-48a7-961c-0b4edd97ab46,8.808,4.9671,1,2,198,19,2,360,468,950,-1,-1,0,0,0,0
29,29,492,-122.5806,9.7324,-11.9594,9.7324,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,463,946,-1,-1,0,0,0,0
30,30,506,-135.0352,9.7324,-13.8884,8.1395,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,473,978,-1,-1,0,0,0,0
31,31,334,-146.1674,9.7324,-42.0135,8.1553,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,503,1232,-1,-1,0,0,0,0
32,32,447,-131.936,9.7324,-9.7411,8.1668,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,482,1026,-1,-1,0,0,0,0
33,33,483,-126.1771,9.7324,-14.1892,8.1546,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,485,1021,-1,-1,0,0,0,0
34,34,518,-125.0403,9.7324,-10.8573,8.3128,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,484,994,-1,-1,0,0,0,0
35,35,489,-121.4818,9.7324,-10.5883,8.294,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,481,980,-1,-1,0,0,0,0
36,36,368,-152.3,9.7324,-38.2444,8.1645,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,520,1264,-1,-1,0,0,0,0
37,37,476,-138.2078,9.7324,-10.1231,8.1584,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,508,1075,-1,-1,0,0,0,0
38,38,465,-133.4694,9.7324,-13.5866,8.1995,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,503,1021,-1,-1,0,0,0,0
39,39,578,-119.3847,9.7324,-10.6631,8.2141,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,518,1022,-1,-1,0,0,0,0
40,40,454,-142.9952,9.7324,-9.3167,8.1686,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,361,502,981,-1,-1,0,0,0,0
41,41,380,-124.3181,9.7324,-30.3883,8.1238,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,521,1160,-1,-1,0,0,0,0
42,42,512,-119.1522,9.7324,-9.4059,8.2575,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,515,981,-1,-1,0,0,0,0
43,43,523,-122.7627,9.7324,-8.0452,8.194,4dbf9ba2-3185-4859-bd35-aaff45b94e12,9.7324,3.3523,1,4,379,94,4,360,510,976,-1,-1,0,0,0,0
44,44,529,-136.9794,14.63,-9.8523,14.63,d3c28882-1dc2-4c3a-95c3-612d297d5d08,14.63,4.893,5,13,980,195,9,360,514,1023,-1,-1,0,0,0,0
45,45,535,-120.5415,14.63,-5.4259,12.7964,d3c28882-1dc2-4c3a-95c3-612d297d5d08,14.63,4.893,5,13,980,195,9,360,511,1000,-1,-1,0,0,0,0
46,46,367,-125.8335,20.2942,-29.978,20.2942,32c62dc0-c388-4576-8083-0f65b3b4f842,20.2942,12.5536,2,7,562,179,6,361,524,1200,-1,-1,0,0,0,0
47,47,480,-121.1031,20.2942,-6.7621,8.2312,32c62dc0-c388-4576-8083-0f65b3b4f842,20.2942,12.5536,2,7,562,179,6,360,507,990,-1,-1,0,0,0,0
48,48,530,-124.4087,20.2942,-9.9232,8.4708,32c62dc0-c388-4576-8083-0f65b3b4f842,20.2942,12.5536,2,7,562,179,6,360,513,1023,-1,-1,0,0,0,0
49,49,547,-122.7655,20.2942,-7.9854,8.1936,32c62dc0-c388-4576-8083-0f65b3b4f842,20.2942,12.5536,2,7,562,179,6,360,511,1029,-1,-1,0,0,0,0
50,50,535,-120.5755,20.2942,-10.4439,8.2043,32c62dc0-c388-4576-8083-0f65b3b4f842,20.2942,12.5536,2,7,562,179,6,360,520,1071,-1,-1,0,0,0,0
51,51,419,-135.3308,20.2942,-31.214,8.212,32c62dc0-c388-4576-8083-0f65b3b4f842,20.2942,12.5536,2,7,562,179,6,361,548,1336,-1,-1,0,0,0,0
