gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,407,-181.5924,-21.8965,-114.2068,-21.8965,d9b45b39-f261-4336-92ca-a2abeab2964c,-21.8965,2.4497,1,2,150,51,2,360,360,720,-1,-1,0,0,0,0
1,1,292,-209.2424,-21.8965,-104.0967,-31.7623,d9b45b39-f261-4336-92ca-a2abeab2964c,-21.8965,2.4497,1,2,150,51,2,360,419,749,-1,-1,0,0,0,0
2,2,241,-158.7039,-7.4651,-97.8244,-7.4651,75227828-10fe-4db9-94bf-2f90d8abb22c,-7.4651,45.8622,1,2,172,37,2,361,427,745,-1,-1,0,0,0,0
3,3,275,-164.0027,-7.4651,-92.714,-11.7898,75227828-10fe-4db9-94bf-2f90d8abb22c,-7.4651,45.8622,1,2,172,37,2,360,446,801,-1,-1,0,0,0,0
4,4,341,-167.8446,-7.4651,-84.7341,-25.9126,75227828-10fe-4db9-94bf-2f90d8abb22c,-7.4651,45.8622,1,2,172,37,2,360,447,805,-1,-1,0,0,0,0
5,5,335,-153.374,-7.4651,-78.3566,-22.712,75227828-10fe-4db9-94bf-2f90d8abb22c,-7.4651,45.8622,1,2,172,37,2,360,438,794,-1,-1,0,0,0,0
6,6,418,-141.6306,0.3644,-69.4838,0.3644,cc3345ac-6745-477e-b84e-bf6e62a160ba,0.3644,3.1183,2,5,413,246,4,360,446,797,-1,-1,0,0,0,0
7,7,457,-138.5265,0.5199,-60.4187,0.5199,b9f80a89-c2f6-4a21-b425-c1d6ed67645e,0.5199,3.3661,1,3,175,88,3,360,450,786,-1,-1,0,0,0,0
8,8,480,-168.6636,0.5199,-52.7402,-10.0777,b9f80a89-c2f6-4a21-b425-c1d6ed67645e,0.5199,3.3661,1,3,175,88,3,360,450,832,-1,-1,0,0,0,0
9,9,508,-140.6142,0.5199,-45.2909,-3.5197,b9f80a89-c2f6-4a21-b425-c1d6ed67645e,0.5199,3.3661,1,3,175,88,3,360,449,817,-1,-1,0,0,0,0
10,10,574,-121.9308,0.5199,-41.0859,-1.7796,b9f80a89-c2f6-4a21-b425-c1d6ed67645e,0.5199,3.3661,1,3,175,88,3,360,457,842,-1,-1,0,0,0,0
11,11,443,-163.8241,10.1787,-56.5623,10.1787,8177ef62-5425-44bb-a28f-e2de4d925953,10.1787,6.6386,1,2,126,145,2,360,500,1196,-1,-1,0,0,0,0
12,12,530,-135.978,10.1787,-33.3966,-0.6359,8177ef62-5425-44bb-a28f-e2de4d925953,10.1787,6.6386,1,2,126,145,2,360,482,997,-1,-1,0,0,0,0
