gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0, 113.84573197364807, -215.78333998634238, -4.604580022650923, -109.2205678763611, 39561194-e566-4323-91b7-7555d769e4ac, -4.604580022650923, 1.5933743441913018, 1, 2, 76,119, 2, 360, 360, 720
1, 104.84218168258667, -158.43030204668406, -4.509750281251523, -98.60973724112165, 37a1709e-d753-476d-943e-c00f38a359a4, -4.509750281251523, 4.0268247264772015, 2, 4, 158,109, 3, 325, 360, 628
2, 111.01937675476074, -146.31038380235094, -3.8645083443727195, -89.94396380996453, 3509c88f-7e09-4b82-8036-93125926b99a, -3.8645083443727195, 1.3644817446952868, 1, 2, 75,118, 2, 312, 360, 622
3, 130.50938534736633, -171.68123264906086, -3.3997115011932935, -83.614819823451, 4008677f-013f-454f-a91d-c22b0163d0eb, -3.3997115011932935, 0.8858220842698847, 2, 4, 156,109, 3, 311, 360, 631
4, 154.46862506866455, -133.28218104469144, -3.3997115011932935, -75.57351115981916, 4008677f-013f-454f-a91d-c22b0163d0eb, -3.3997115011932935, 0.8858220842698847, 2, 4, 156,109, 3, 300, 360, 625
5, 174.31452822685242, -149.885779146538, -3.3636349970875252, -65.52400081910518, 8104267c-8a0f-40e2-a5c9-8826c4ecddd6, -3.3636349970875252, 0.6249828933970565, 1, 2, 76,119, 2, 297, 360, 633
6, 183.70180940628052, -131.11697783440331, -3.292067042700458, -59.63309213996826, 558bd4d8-89a4-47d3-9fd6-a6cf43ff16c1, -3.292067042700458, 0.9503164289801498, 1, 3, 82,177, 3, 283, 360, 647
7, 158.3444402217865, -122.61510856840209, -3.180703240679311, -51.546760684156496, a5b35851-5cde-4990-b6c4-b86fb21b0cbb, -3.180703240679311, 1.0202198479537496, 1, 2, 74,117, 2, 287, 360, 646
8, 188.84396529197693, -119.00447981432387, -2.628992050751335, -39.974703072480416, 8adae210-3f51-4d44-9b2b-47bf553a37c1, -2.628992050751335, 0.1662960953421719, 1, 3, 130,157, 3, 283, 360, 667
9, 192.71040391921997, -139.47017318595942, -2.2512947512438073, -30.92231523831977, 19000a8b-64b9-4b4f-888a-5632744ff555, -2.2512947512438073, 1.493888320373813, 3, 8, 247,287, 6, 276, 360, 648
10, 209.6135241985321, -114.82183999883185, -2.2512947512438073, -20.481168739502614, 19000a8b-64b9-4b4f-888a-5632744ff555, -2.2512947512438073, 1.493888320373813, 3, 8, 247,287, 6, 284, 360, 654
11, 175.7739634513855, -155.88217141560185, -2.2512947512438073, -31.27142568109517, 19000a8b-64b9-4b4f-888a-5632744ff555, -2.2512947512438073, 1.493888320373813, 3, 8, 247,287, 6, 269, 360, 782
12, 207.69013857841492, -119.41423621434453, -2.2512947512438073, -12.564048020429738, 19000a8b-64b9-4b4f-888a-5632744ff555, -2.2512947512438073, 1.493888320373813, 3, 8, 247,287, 6, 264, 360, 727
13, 179.93361067771912, -123.79193145768514, -2.2512947512438073, -15.735510293617239, 19000a8b-64b9-4b4f-888a-5632744ff555, -2.2512947512438073, 1.493888320373813, 3, 8, 247,287, 6, 264, 360, 733
14, 199.55155873298645, -116.35456620680309, -2.2512947512438073, -13.95877756894067, 19000a8b-64b9-4b4f-888a-5632744ff555, -2.2512947512438073, 1.493888320373813, 3, 8, 247,287, 6, 267, 360, 747
15, 196.82135367393494, -117.51862161071179, -1.6359460575682223, -13.641528449822165, 46c2ce23-cb18-4775-8d32-7788f2f31e5e, -1.6359460575682223, 2.690122400395128, 5, 12, 340,324, 8, 270, 360, 762
16, 173.7194299697876, -121.33167382225433, -1.6359460575682223, -26.63318641696614, 46c2ce23-cb18-4775-8d32-7788f2f31e5e, -1.6359460575682223, 2.690122400395128, 5, 12, 340,324, 8, 248, 360, 848
17, 180.07622718811035, -125.16443342303808, -1.6359460575682223, -14.36661081014397, 46c2ce23-cb18-4775-8d32-7788f2f31e5e, -1.6359460575682223, 2.690122400395128, 5, 12, 340,324, 8, 261, 360, 763
18, 205.78339433670044, -157.27748099351294, -1.6359460575682223, -12.10455045473844, 46c2ce23-cb18-4775-8d32-7788f2f31e5e, -1.6359460575682223, 2.690122400395128, 5, 12, 340,324, 8, 264, 360, 784
19, 187.8282129764557, -131.1899278277077, 21.980302189725, -14.530368792075553, e033fa9d-52e8-429d-89dc-f4c7339d2f72, 21.980302189725, 7.832958135598762, 1, 2, 75,120, 2, 263, 360, 770
20, 185.86902809143066, -119.76032535744075, 21.980302189725, -11.240183970495561, e033fa9d-52e8-429d-89dc-f4c7339d2f72, 21.980302189725, 7.832958135598762, 1, 2, 75,120, 2, 265, 360, 782
21, 162.42064428329468, -171.7550843194912, 21.980302189725, -26.751850907755763, e033fa9d-52e8-429d-89dc-f4c7339d2f72, 21.980302189725, 7.832958135598762, 1, 2, 75,120, 2, 254, 360, 899
22, 188.69987535476685, -131.0227157756524, 21.980302189725, -13.943410662330411, e033fa9d-52e8-429d-89dc-f4c7339d2f72, 21.980302189725, 7.832958135598762, 1, 2, 75,120, 2, 254, 360, 810
23, 190.069100856781, -121.5842625375149, 21.980302189725, -12.018438979884653, e033fa9d-52e8-429d-89dc-f4c7339d2f72, 21.980302189725, 7.832958135598762, 1, 2, 75,120, 2, 259, 360, 784
24, 178.89623093605042, -144.9540593503412, 22.739515184472253, -13.725188537302103, 6d2427ac-7d49-4591-aae1-c57b587afe8f, 22.739515184472253, 8.971269087871976, 1, 4, 129,190, 4, 257, 360, 779
25, 203.97061920166016, -142.93196603349594, 39.66682380191812, -11.329026902101774, 14dad43b-86c1-4ed3-b10a-dfd82257c7e5, 39.66682380191812, 45.169544389907145, 1, 3, 125,176, 3, 260, 360, 797
26, 172.8283336162567, -161.3640557908069, 39.66682380191812, -24.777567093875582, 14dad43b-86c1-4ed3-b10a-dfd82257c7e5, 39.66682380191812, 45.169544389907145, 1, 3, 125,176, 3, 237, 360, 875
27, 177.8215310573578, -110.54979298570035, 39.66682380191812, -7.6164413001341815, 14dad43b-86c1-4ed3-b10a-dfd82257c7e5, 39.66682380191812, 45.169544389907145, 1, 3, 125,176, 3, 249, 360, 793
28, 196.6162395477295, -135.45007896659052, 39.66682380191812, -8.773762032638034, 14dad43b-86c1-4ed3-b10a-dfd82257c7e5, 39.66682380191812, 45.169544389907145, 1, 3, 125,176, 3, 255, 360, 780
29, 198.6845304965973, -143.65936389964492, 39.66682380191812, -5.782519192526424, 14dad43b-86c1-4ed3-b10a-dfd82257c7e5, 39.66682380191812, 45.169544389907145, 1, 3, 125,176, 3, 250, 360, 783
