gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners,hh_learners_removed,hh_teams_affected,b_teams,b_learners,b_teams_new,b_learners_new
0, 93.16008567810059, -186.05877883462736, -2.4864874635336998, -109.55015380315385, 01684fb8-3aeb-455d-b854-2178eff9d3a1, -2.4864874635336998, 1.0780624941072317, 1, 2, 106,20, 2, 360, 360, 720, -1, -1, 1, 2, 1, 2
1, 38.28545546531677, -153.4113201364984, -2.4864874635336998, -99.24890493256791, 01684fb8-3aeb-455d-b854-2178eff9d3a1, -2.4864874635336998, 1.0780624941072317, 1, 2, 106,20, 2, 328, 361, 641, -1, -1, 3, 9, 3, 9
2, 40.82674837112427, -125.52912427628283, 20.20810245962589, -91.34022515340453, 71cdd521-5928-4ef4-bf30-9844fe6b633b, 20.20810245962589, 2.968278962323271, 2, 6, 216,157, 5, 313, 362, 620, -1, -1, 5, 14, 5, 14
3, 45.8968505859375, -169.68551923519658, 20.20810245962589, -84.09991604941756, 71cdd521-5928-4ef4-bf30-9844fe6b633b, 20.20810245962589, 2.968278962323271, 2, 6, 216,157, 5, 299, 362, 630, -1, -1, 10, 26, 10, 26
4, 44.60038113594055, -153.54047831141128, 20.20810245962589, -74.40589301402217, 71cdd521-5928-4ef4-bf30-9844fe6b633b, 20.20810245962589, 2.968278962323271, 2, 6, 216,157, 5, 283, 365, 651, -1, -1, 11, 28, 11, 28
5, 54.271462202072144, -167.9887199572967, 21.125131094789, -64.50637814473946, 958b6cd5-f237-4423-9b68-13dc08c8d901, 21.125131094789, 0.9947582364714356, 1, 2, 78,10, 2, 283, 361, 655, -1, -1, 13, 32, 13, 32
6, 72.50679516792297, -122.58595273083351, 21.9748747507601, -55.29869729006254, e6c6317e-67f7-469c-8859-a05e5c147015, 21.9748747507601, 1.0295258163922978, 1, 4, 142,142, 4, 285, 362, 662, -1, -1, 13, 32, 13, 32
7, 60.01380681991577, -132.80674738557167, 21.9748747507601, -41.101606286076986, e6c6317e-67f7-469c-8859-a05e5c147015, 21.9748747507601, 1.0295258163922978, 1, 4, 142,142, 4, 290, 360, 671, -1, -1, 16, 39, 16, 39
8, 55.08155393600464, -149.89825007528, 22.82479614770943, -28.76853694844228, 46a5a3bb-78fc-4b8b-885b-bd0b7a2b441e, 22.82479614770943, 1.2600704719176758, 1, 2, 78,10, 2, 295, 363, 671, -1, -1, 18, 43, 18, 43
9, 66.2518265247345, -116.27602252772014, 22.82479614770943, -14.424982002955423, 46a5a3bb-78fc-4b8b-885b-bd0b7a2b441e, 22.82479614770943, 1.2600704719176758, 1, 2, 78,10, 2, 288, 362, 662, -1, -1, 18, 43, 18, 43
